,name,psnr,ssim
0,test068,24.603615992800428,0.8347506459466362
1,test010,28.33475171196939,0.8556161704107405
2,test062,29.363450591650366,0.895935313491001
3,test017,30.518379733533457,0.8709798095484358
4,test045,30.544125925828865,0.867503716883208
5,test041,26.33132920068697,0.8315590019649349
6,test040,27.529740858109868,0.8513977282140842
7,test055,26.13820595145709,0.8333797522961787
8,test065,27.621801714980258,0.8482542873764687
9,test034,30.377895233400555,0.8826865984525941
10,test053,29.701535872688865,0.8469932178449395
11,test022,25.28500780660588,0.8292910866004577
12,test016,25.598741290697266,0.8677747686811058
13,test031,22.63241213481727,0.7646360175383461
14,test059,28.86781872200406,0.8410234491435116
15,test036,26.97943456469033,0.7379711752438315
16,test046,24.92567967902343,0.8262978625002867
17,test029,22.617315844730665,0.7980856005873014
18,test043,27.881660016949535,0.8891467841597103
19,test015,25.872727277609066,0.8285044521303
20,test057,27.076515950216745,0.8196646647383566
21,test011,26.374298267744187,0.8641160855244077
22,test050,25.61333754662543,0.8104672571331206
23,test051,25.85678280659511,0.8478892675355943
24,test023,26.959241850680925,0.8645414296009059
25,test042,27.61881669339393,0.8502236444369999
26,test064,25.89494357982243,0.7974061417641775
27,test033,25.858147837414982,0.8598711452259418
28,test056,22.697936360902474,0.7420318700252645
29,test060,29.39510721853635,0.848669015004675
30,test013,28.21854925548069,0.855023326258737
31,test006,30.33216147138559,0.8820566345963577
32,test009,27.208573109204973,0.8511673903296698
33,test035,26.91532374923905,0.8394041230006525
34,test020,27.13702580740703,0.8589959336212505
35,test026,27.11841235603473,0.841789422463334
36,test063,25.056678010776267,0.8301004834606668
37,test012,27.029462996317086,0.8382194690556202
38,test047,25.39469934967038,0.8092080383086606
39,test004,28.71132587668101,0.8659334046527426
40,test038,27.541098376619296,0.8357485519218558
41,test002,28.19974583116602,0.8699478435954658
42,test019,26.43043828468681,0.8288104934239655
43,test008,24.752106478045818,0.8041076655898652
44,test061,28.527239896906494,0.849808994717316
45,test054,27.259988228303186,0.857819894656715
46,test027,28.282178453371824,0.8545578084510509
47,test032,25.353521231277988,0.8297301955611832
48,test044,25.262697862349167,0.8130211535985896
49,test028,30.577478803672747,0.8848550527822359
50,test001,24.768609438314932,0.7908218959306791
51,test007,26.785167670847045,0.8518187514246204
52,test058,29.43701790151259,0.8441400941889171
53,test003,27.663074703774146,0.8665464485986354
54,test049,29.69346137311716,0.867948465506586
55,test048,27.21658851904649,0.8944370466218757
56,test021,24.27113840788966,0.8564992094516946
57,test052,30.004853495203356,0.8719012303198533
58,test025,27.379775285236526,0.8736089490777484
59,test030,28.522011607850565,0.858632977118093
60,test037,27.364146935911556,0.8173654596649029
61,test014,28.74953449283077,0.8638623400127465
62,test005,26.246162871427913,0.8359337823222206
63,test024,26.8776201426469,0.8691593623141004
64,test018,30.250337384555102,0.8794333667328528
65,test067,23.301556578290096,0.8409012203207019
66,test066,32.060595241065016,0.9025024594434355
67,test039,29.64495877410069,0.8952359382125966
68,Average,27.214942271887978,0.8454076887839956
