,name,psnr,ssim
0,test027,27.221825122938576,0.8197280574981944
1,test068,24.055775368536167,0.819189134100321
2,test036,26.237073899850195,0.7076687422251765
3,test055,25.382014067944976,0.8066726608897922
4,test026,26.299691223658172,0.8155851903795195
5,test030,27.458023877374636,0.8242862886615814
6,test019,25.71304931113397,0.8002585811055102
7,test057,26.32558830944181,0.7913275191283764
8,test038,26.582013876261307,0.8031429570192605
9,test034,29.108142005536042,0.850322554859658
10,test009,26.315076194691002,0.8207556649570553
11,test033,25.16851547545228,0.8345226966808382
12,test008,24.171271348792402,0.7788627202720482
13,test021,23.671122366223045,0.8357610693798002
14,test054,26.29104701848416,0.8269597622346319
15,test014,27.66344396681664,0.82921179373477
16,test040,26.593311532778582,0.8222687869935836
17,test047,24.68871561517929,0.7825109608680426
18,test028,29.75422274409844,0.8651697553232083
19,test016,24.800458670914164,0.8435838736296001
20,test035,26.047158344591132,0.8099812335458857
21,test013,27.15651747537439,0.8198312568912072
22,test051,25.09374341056367,0.8183257085037513
23,test007,25.89022164692316,0.8209585583776516
24,test005,25.575101604145452,0.812982322724901
25,test060,28.388628817569895,0.8159453195807004
26,test059,27.801511287448577,0.8074847182869989
27,test041,25.603263576663338,0.805682118535545
28,test011,25.588968616489723,0.8404281973796335
29,test012,26.147146047586194,0.8075555744293004
30,test048,26.250474744095293,0.8687044349314965
31,test039,28.270527758527933,0.859287669555728
32,test053,28.53573577788703,0.8095282860683763
33,test061,27.662642590831883,0.8215699552560357
34,test046,24.26288532228424,0.8036226891796603
35,test042,26.82677848585795,0.8218350104016314
36,test024,26.012500617326943,0.8433922178273121
37,test043,26.794258112419477,0.8572480999476509
38,test004,27.628530566268417,0.8299686487720713
39,test050,24.96684804124009,0.7862949745211869
40,test006,29.0972840700748,0.8487383841846439
41,test018,29.059504907781037,0.8457955579419405
42,test001,24.199013817913084,0.7686641959004817
43,test067,22.710406823953925,0.825209662968304
44,test049,28.671237265457208,0.8374767662158852
45,test064,25.162697571311348,0.7712534109336102
46,test066,30.503085861815386,0.8670816312568901
47,test022,24.57094975244546,0.8060992165665859
48,test037,26.53086211223968,0.7872816015492667
49,test015,25.136752121702326,0.7997622264887427
50,test031,22.161858376662323,0.7482780759096229
51,test002,27.462201161961865,0.8480247089428317
52,test023,26.078002837838376,0.8343815351618339
53,test056,22.26232020078718,0.7282701107075156
54,test062,28.289497042460138,0.8692376797098095
55,test045,29.24135538567114,0.831116240501888
56,test044,24.662880795440493,0.7878175528697277
57,test063,24.374512434413937,0.8048749123733254
58,test017,29.316379026503462,0.8398768115308402
59,test058,28.404576621459633,0.8110881456684648
60,test032,24.56684791567728,0.8036372789869208
61,test065,26.782983726306746,0.8213517921867509
62,test025,26.558875276236996,0.8464332831666627
63,test003,26.76417529230235,0.834209285338117
64,test020,26.350288037233184,0.8284624390224316
65,test052,28.910800570134732,0.8411971606142064
66,test010,27.261594989634872,0.8198271175947663
67,test029,22.18271228441269,0.7808708178305667
68,Average,26.342315898824005,0.8172754906879461
