,name,psnr,ssim
0,test068,24.124405984729297,0.8235266316247467
1,test010,28.361990307519807,0.8665364501641738
2,test062,29.80965489255514,0.9259876311252634
3,test017,31.327827341915125,0.9031001017548176
4,test045,31.461507527691634,0.9011169559389349
5,test041,26.119828264646937,0.8311530834542408
6,test040,27.51406288333356,0.8593457828690849
7,test055,25.846601668580256,0.8237285769781234
8,test065,27.549777668198438,0.8547081269929703
9,test034,31.30320471634701,0.9162734609303781
10,test053,30.23468360937256,0.8669217390947772
11,test022,24.850571218049513,0.8125088815350711
12,test016,25.239902719711832,0.8608950229455266
13,test031,22.019195190182227,0.7209210989147891
14,test059,29.12224723220492,0.8563374205276076
15,test036,26.875313515381293,0.7218814126981928
16,test046,24.453076439592735,0.8095252896706367
17,test029,22.063537396279077,0.7733892854931927
18,test043,27.892023911892085,0.905180492238162
19,test015,25.521385346194307,0.8218818894013284
20,test057,26.946019038058502,0.8244739943690266
21,test011,26.235206348820974,0.8660810998846207
22,test050,25.258657164265628,0.7935795970826901
23,test051,25.442364422055853,0.8490292931265833
24,test023,26.79397854938495,0.8712853759820547
25,test042,27.664917850596453,0.8669837746757936
26,test064,25.63164431307923,0.781007083661963
27,test033,25.582945958715662,0.8708323909003023
28,test056,22.15951449000574,0.6982844730315592
29,test060,29.871719182589544,0.8740245900116288
30,test013,28.22633616191135,0.8598943159954339
31,test006,31.11286495173281,0.9120040488856795
32,test009,27.133069315206562,0.857436161336581
33,test035,26.735879694470125,0.8392631512908026
34,test020,27.018043042055133,0.8773382519822618
35,test026,27.059369398062906,0.8443615575224367
36,test063,24.638009245493212,0.8105852257558678
37,test012,26.81566676610618,0.8331388767940437
38,test047,25.009404530965007,0.7883887303048455
39,test004,28.95158605348602,0.8816761382776827
40,test038,27.374415884568336,0.8326699067697466
41,test002,28.2469918144943,0.881681726094283
42,test019,26.193366907009906,0.8302709949299734
43,test008,24.30364798092091,0.7840028826096219
44,test061,28.8392336445324,0.8713030302191743
45,test054,27.163109840615185,0.8617127298416195
46,test027,28.326673791606133,0.8665674666655676
47,test032,24.926685712325135,0.8078893975430571
48,test044,24.908089372040884,0.805139965888811
49,test028,31.238464092633073,0.9117312399195042
50,test001,24.38532681096406,0.7686691246436471
51,test007,26.539722619895944,0.8469490169493754
52,test058,29.84783466485821,0.8639805339153218
53,test003,27.57357273322149,0.8875682660953504
54,test049,30.290846843552544,0.8926991416565014
55,test048,27.150840229325013,0.9086373202874654
56,test021,23.848340331514578,0.8480323600427473
57,test052,30.52425303314035,0.8935985006807902
58,test025,27.33824066566452,0.8958920163076107
59,test030,28.609407691654226,0.8682994775073747
60,test037,27.306244502664914,0.8192611392629088
61,test014,28.907481768213415,0.8847972164144366
62,test005,25.958350251666786,0.8262104620397602
63,test024,26.807781120094866,0.8759164838421505
64,test018,31.02615750739149,0.9138969952878595
65,test067,22.779368937239806,0.8164240118013291
66,test066,34.088070281304454,0.954828563000603
67,test039,30.147172226633554,0.9223508033438519
68,Average,27.215113023105673,0.8499348270409459
