,name,psnr,ssim
0,test068,24.53143461465366,0.8330414750780178
1,test010,28.2781033252688,0.854229322928534
2,test062,29.336202324760553,0.8958040498298899
3,test017,30.534905544259278,0.8717336647783316
4,test045,30.51385225923639,0.8669493455707973
5,test041,26.31062299970774,0.8304733948873451
6,test040,27.482987155636273,0.8502951420353312
7,test055,26.115247084071065,0.8315000703096854
8,test065,27.597275037787398,0.8473880375397593
9,test034,30.37165153423001,0.8827333373500446
10,test053,29.72400150934949,0.8474379150968154
11,test022,25.261841691649572,0.8285314452930365
12,test016,25.60279504019215,0.867223974699976
13,test031,22.637354343908207,0.7658176118090685
14,test059,28.820376280580135,0.8391964171796302
15,test036,26.987993638024253,0.7392230995201519
16,test046,24.92956813405101,0.8278649878961989
17,test029,22.628748570300626,0.7987846227508234
18,test043,27.84919279118637,0.8887387406544035
19,test015,25.820129658696676,0.8269519034416668
20,test057,27.00799036430832,0.8170355196819222
21,test011,26.367336821124255,0.8633427656269849
22,test050,25.617733527373776,0.8098927365645296
23,test051,25.81210987813001,0.8485979920176505
24,test023,26.960801667848262,0.8647631006954877
25,test042,27.631214254854946,0.8523588357103533
26,test064,25.930783915455187,0.7972637255533807
27,test033,25.821372430549378,0.8584492641789383
28,test056,22.71865486289901,0.7438452244887847
29,test060,29.40415388892221,0.848879829383527
30,test013,28.259254295753117,0.8564074065316547
31,test006,30.306467685868892,0.8809858961213719
32,test009,27.206989189007444,0.850710091680533
33,test035,26.868198688391995,0.8382491951323738
34,test020,27.12680929662962,0.8580661507431107
35,test026,27.153197994136427,0.8429377382339017
36,test063,25.021045412359566,0.8288811636011948
37,test012,27.052183127837566,0.8394883578788016
38,test047,25.376117974824936,0.8085057158826686
39,test004,28.765659821032298,0.8671874463576652
40,test038,27.524691940137437,0.8347491979558848
41,test002,28.224507478668833,0.8708257301055339
42,test019,26.42032409550093,0.8276709427236341
43,test008,24.774387495878976,0.8053822783285602
44,test061,28.545073455609817,0.8498841627995238
45,test054,27.340864323529477,0.8599269449275135
46,test027,28.247427184438262,0.8528810674566347
47,test032,25.282662112286065,0.8270869704823471
48,test044,25.258948020377883,0.8119903236739138
49,test028,30.540053921091115,0.8837056917468574
50,test001,24.776001699144494,0.7902253406189694
51,test007,26.722846305662436,0.8494707769833789
52,test058,29.39509990016406,0.8422430660190138
53,test003,27.614073543536158,0.8665030359163814
54,test049,29.74274926068827,0.8680717871859179
55,test048,27.211501401553576,0.8942056725662862
56,test021,24.31552100961861,0.8566140276240086
57,test052,29.97471913625425,0.8709322158231225
58,test025,27.34136308952014,0.8731212070625843
59,test030,28.534538672085397,0.8594155844425532
60,test037,27.339417081656254,0.8164293026262398
61,test014,28.685508647609975,0.8626158740209763
62,test005,26.219836259057345,0.8347020634459483
63,test024,26.88158494102732,0.8698283890783797
64,test018,30.256227159911333,0.8791148836923104
65,test067,23.265491792461795,0.8397862069462172
66,test066,32.06447872438799,0.9022080992631065
67,test039,29.60012034475998,0.8958869716945312
68,Average,27.20356437693345,0.8450771254400689
